date,open,high,low,close,volume
1990-12-31,96.05,127.61,95.79,127.61,15
1991-01-31,127.61,135.19,127.61,129.97,663
1991-02-28,129.5,134.87,128.06,133.01,502
1991-03-29,132.53,132.53,120.11,120.19,234
1991-04-30,120.69,122.2,113.89,113.94,696
1991-05-31,113.04,114.83,104.96,114.83,757
1991-06-28,115.9,137.56,114.89,137.56,770
1991-07-31,136.64,143.8,131.87,143.8,1589
1991-08-30,145.12,178.43,143.8,178.43,799
1991-09-30,180.08,191.18,178.43,180.92,2851
1991-10-31,181.55,218.6,179.8,218.6,2223
1991-11-29,220.71,259.85,218.6,259.6,953
1991-12-31,261.78,292.75,259.67,292.75,424
1992-01-31,293.74,313.24,292.76,313.24,160
1992-02-28,314.18,364.67,313.24,364.66,1075
1992-03-31,365.15,382.06,364.66,381.24,1604
1992-04-30,381.55,448.94,381.01,445.38,5094
1992-05-29,454.86,1429.01,439.96,1234.71,10722
1992-06-30,1175.69,1249.58,1033.47,1191.19,7931
1992-07-31,1199.54,1215.24,961.61,1052.07,13873
1992-08-31,1034.7,1060.36,627.36,823.27,20394
1992-09-30,826.96,832.84,595.42,702.32,20889
1992-10-30,676.47,713.77,447.93,507.25,20456
1992-11-30,471.18,752.32,386.85,724.6,32508
1992-12-31,718.99,841.02,592.78,780.39,47608
1993-01-29,784.13,1198.48,777.16,1198.48,73408
1993-02-26,1242.35,1558.95,1196.47,1339.88,122747
1993-03-31,1328.22,1339.1,913.74,925.91,76208
1993-04-30,921.59,1392.62,915.59,1358.78,129973
1993-05-31,1365.15,1380.5,930.64,935.48,66114
1993-06-30,935.9,1177.91,859.48,1007.05,90641
1993-07-30,1000.8,1009.89,777.73,881.07,65594
1993-08-31,885.31,1042.47,823,895.68,149758
1993-09-30,898.01,947.53,864.38,890.27,61938
1993-10-29,895.69,934.4,774.54,814.82,151446
1993-11-30,801.86,1011.76,793.32,984.93,269265
1993-12-31,993.67,1044.85,750.46,833.8,281854
1994-01-31,837.7,907.09,760.78,770.25,242444
1994-02-28,770.25,818.57,749.63,770.98,150684
1994-03-31,771.52,807.52,694.03,704.46,535396
1994-04-29,704.93,705.41,536.34,592.56,393132
1994-05-31,593.94,620.94,537.78,556.26,419438
1994-06-30,554.08,556.9,458.74,469.29,211912
1994-07-29,469.27,469.43,325.89,333.92,154277
1994-08-31,394.87,787.22,377.97,785.33,2073209
1994-09-30,785.61,1052.94,785.56,791.15,1487521
1994-10-31,770.9,794.85,546.79,654.98,655763
1994-11-30,667.66,743.22,648.68,683.59,323854
1994-12-30,684.02,695.22,620.47,647.87,216329
1995-01-27,637.72,657.45,547.38,562.59,77291
1995-02-28,559.78,608.58,524.43,549.26,103857
1995-03-31,548.91,648.04,545.72,646.92,293717
1995-04-28,651.04,681.15,547.21,579.93,303829
1995-05-31,576.69,926.41,564.86,700.51,613262
1995-06-30,703.72,722.3,625.7,630.58,266575
1995-07-31,623.14,723.68,610.33,695.55,669986
1995-08-31,697.22,788.16,688.65,723.87,1000431
1995-09-29,726.05,792.54,699.1,722.43,599253
1995-10-31,724.04,765.48,693.86,717.32,712074
1995-11-30,716.46,736.91,632.03,641.14,330164
1995-12-29,631.55,643.36,552.84,555.29,176710
1996-01-31,550.26,561.36,512.83,537.35,252877
1996-02-16,536.24,553.83,518.18,552.94,93695
1996-03-29,583.38,606.51,549.71,556.39,269754
1996-04-30,566.21,739.1,556.23,681.15,748375
1996-05-31,715.98,724.97,630.52,643.65,804629
1996-06-28,643.95,819.68,636.49,804.25,1219443
1996-07-31,800.9,894.72,753.75,822.47,1400978
1996-08-30,823.17,894.85,766.7,809.93,811990
1996-09-27,812.94,875.52,752.68,875.52,885025
1996-10-31,887.85,1038.81,852.83,976.71,1846920
1996-11-29,935.17,1047.39,896.87,1032.94,1368464
1996-12-31,1056.67,1258.68,855.84,917.01,2170212
1997-01-31,914.06,967.89,871.78,964.74,689181
1997-02-28,969.53,1040.17,870.18,1040.02,773410
1997-03-31,1044.61,1234.95,1043.92,1234.61,1861120
1997-04-30,1243.87,1396.48,1222.55,1393.74,2117321
1997-05-30,1398.14,1510.17,1213.24,1285.18,1562594
1997-06-27,1302.82,1369.51,1154.97,1250.27,973748
1997-07-31,1255.9,1261.57,1066.04,1189.76,908400
1997-08-29,1191.65,1223.07,1116.14,1221.06,925144
1997-09-30,1224.17,1264.48,1025.13,1097.38,923465
1997-10-31,1100.7,1241.83,1087.01,1180.39,704296
1997-11-28,1181.16,1213.22,1114.13,1139.62,634696
1997-12-31,1137.58,1198.97,1119.2,1194.1,669364
1998-01-23,1200.94,1250,1110.08,1222.91,708196
1998-02-27,1257.99,1262.62,1189.51,1206.53,602697
1998-03-31,1196.74,1252.24,1175.55,1243.01,859723
1998-04-30,1243.37,1343.46,1240.05,1343.44,2239798
1998-05-29,1353.05,1411.34,1324.72,1411.2,1891089
1998-06-30,1418.35,1422.97,1323.52,1339.2,1422142
1998-07-31,1363.26,1367.14,1278.3,1316.91,1072064
1998-08-31,1315.13,1315.47,1043.02,1150.22,1154731
1998-09-30,1142.5,1264.39,1123.63,1242.89,1550170
1998-10-30,1245.73,1263.71,1191.55,1217.31,1171619
1998-11-30,1217.33,1300.15,1210.84,1247.41,1224131
1998-12-31,1249,1251.86,1125.55,1146.7,723221
1999-01-29,1144.88,1174.42,1104.5,1134.67,931160
1999-02-09,1131.65,1131.66,1064.17,1090.08,276356
1999-03-31,1092.14,1179.65,1084.15,1158.05,1367199
1999-04-30,1158.68,1210.1,1087.79,1120.92,1621355
1999-05-31,1120.9,1303.48,1047.83,1279.32,2285235
1999-06-30,1283.3,1756.18,1259,1689.42,6404485
1999-07-30,1678.83,1678.83,1471.5,1601.45,3671153
1999-08-31,1607.06,1658.69,1546.83,1627.11,2371208
1999-09-30,1627.82,1695.64,1556.74,1570.7,1632967
1999-10-29,1568.23,1568.37,1452.7,1504.56,1019668
1999-11-30,1501.73,1506.99,1427.35,1434.97,1294462
1999-12-30,1434.97,1461.89,1341.05,1366.58,1100448
2000-01-28,1368.69,1547.7,1361.21,1534.99,2907630
2000-02-29,1591.44,1770.88,1583.58,1714.57,3728387
2000-03-31,1720.59,1811.06,1596.07,1800.22,4689867
2000-04-28,1799.57,1858.26,1746.3,1836.32,2990685
2000-05-31,1848.17,1908.3,1695.53,1894.55,2101113
2000-06-30,1900.53,1953.33,1884.61,1928.1,3118640
2000-07-31,1917.44,2024.99,1888.24,2023.53,3220601
2000-08-31,2027.01,2114.52,1980.34,2021.19,3762162
2000-09-29,2009.15,2026.35,1874.21,1910.16,1543119
2000-10-31,1912.07,1980.62,1896.94,1961.28,1294944
2000-11-30,1961.08,2125.72,1959.72,2070.61,2510430
2000-12-29,2073.08,2097.28,2024.28,2073.47,2536595
2001-01-19,2077.07,2131.98,2007.7,2065.6,1826850
2001-02-28,2069.85,2072.54,1893.78,1959.18,1250812
2001-03-30,1959,2112.87,1953.72,2112.77,3514745
2001-04-30,2117.45,2179.74,2081.64,2119.18,4460428
2001-05-31,2119.89,2222.65,2119.89,2214.25,3323178
2001-06-29,2216.56,2245.43,2157.12,2218.02,3219007
2001-07-31,2220.41,2223.2,1909.29,1920.31,2300767
2001-08-31,1925.23,1990.69,1795.56,1834.13,2148813
2001-09-28,1831.7,1888.9,1750.76,1764.86,1824221
2001-10-31,1766.13,1773.79,1514.86,1689.17,2051539
2001-11-30,1692.35,1748,1550.46,1747.99,2073972
2001-12-31,1751.05,1776.02,1593.03,1645.97,1720309
2002-01-31,1643.48,1643.5,1339.2,1491.67,2021289
2002-02-28,1494.58,1544.92,1476.13,1524.7,1191027
2002-03-29,1521.53,1693.87,1494.83,1603.91,3809676
2002-04-30,1598.03,1680.3,1575.97,1667.75,2258312
2002-05-31,1669.87,1670.92,1506.54,1515.73,1280135
2002-06-28,1510.25,1748.89,1455.31,1732.76,3488787
2002-07-31,1736.29,1741.92,1647.27,1651.59,2415702
2002-08-30,1650.05,1696.28,1624.05,1666.62,1365576
2002-09-27,1666.34,1680.28,1577.53,1581.62,1109457
2002-10-31,1577.05,1577.05,1488.68,1507.5,1231550
2002-11-29,1507.38,1573.1,1353.14,1434.18,1806436
2002-12-31,1432.03,1439.85,1348.71,1357.65,1574119
2003-01-29,1347.43,1508.59,1311.68,1499.81,3188429
2003-02-28,1499.17,1524.75,1474.47,1511.93,1476417
2003-03-31,1511.58,1529.75,1447.01,1510.58,1772408
2003-04-30,1513,1649.6,1473.27,1521.44,5425700
2003-05-30,1522.98,1581.61,1477.25,1576.26,2659310
2003-06-30,1577.99,1582.41,1483.69,1486.02,2407369
2003-07-31,1485.52,1540.19,1464.87,1476.74,2109290
2003-08-29,1476.47,1497.1,1406.68,1421.98,1298554
2003-09-30,1423.35,1456.55,1348.22,1367.16,1552470
2003-10-31,1366.2,1411.88,1334.78,1348.3,1644539
2003-11-28,1346.48,1423.58,1307.4,1397.22,3096165
2003-12-31,1398.71,1525.3,1398.71,1497.04,4695721
2004-01-30,1492.72,1634.41,1491.69,1590.73,3569572
2004-02-27,1630.65,1730.28,1585.96,1675.07,5958184
2004-03-31,1676.22,1760.08,1634.71,1741.62,4683405
2004-04-30,1744.71,1783.01,1572.23,1595.59,4042507
2004-05-31,1600.63,1606.07,1508.65,1555.91,1625119
2004-06-30,1555.56,1580.57,1376.22,1399.16,2372526
2004-07-30,1398.2,1466.78,1366.5,1386.2,2405055
2004-08-31,1381.88,1424.55,1310.02,1342.06,1907726
2004-09-30,1340.75,1496.21,1259.43,1396.7,4155211
2004-10-29,1395.67,1437.57,1289.87,1320.54,2746683
2004-11-30,1317.66,1387.34,1290.99,1340.77,3200063
2004-12-31,1340.92,1352.45,1264.15,1266.5,2373713
2005-01-31,1260.78,1268.86,1189.21,1191.82,2062085
2005-02-28,1189.5,1328.53,1187.26,1306,2575787
2005-03-31,1305.25,1326.08,1162.03,1181.24,3755972
2005-04-29,1180.37,1254.32,1135.73,1159.15,3885479
2005-05-31,1160.62,1165.39,1043.28,1060.74,2239217
2005-06-30,1059.61,1146.42,998.23,1080.94,4864711
2005-07-29,1077.31,1097.63,1004.08,1083.03,3774041
2005-08-31,1082.8,1201.76,1081.12,1162.8,7688623
2005-09-30,1163.7,1223.56,1129.05,1155.61,5971197
2005-10-31,1153.67,1165.67,1067.41,1092.82,3061254
2005-11-30,1091.68,1122.88,1074.3,1099.26,3964881
2005-12-30,1098.78,1173.06,1074.01,1161.06,3791003
2006-01-25,1163.88,1262.09,1161.91,1258.05,5184907
2006-02-28,1263,1304.61,1256.81,1299.03,5437882
2006-03-31,1299.15,1313.13,1238.16,1298.3,5670376
2006-04-28,1298.68,1444.71,1298.68,1440.22,9143278
2006-05-31,1446.99,1678.6,1446.99,1641.3,12619326
2006-06-30,1639.67,1695.58,1512.52,1672.21,10754336
2006-07-31,1677.31,1757.47,1611.16,1612.73,9112710
2006-08-31,1619.64,1667.53,1541.41,1658.64,6782227
2006-09-29,1658.66,1755.69,1634.03,1752.42,8370505
2006-10-31,1768.14,1842.73,1753.49,1837.99,8772998
2006-11-30,1838.68,2102.06,1833.2,2099.29,13239222
2006-12-29,2106.29,2698.9,2084.27,2675.47,18165910
2007-01-31,2728.19,2994.28,2617.02,2786.33,25083646
2007-02-28,2744.81,3049.77,2541.52,2881.07,15912531
2007-03-30,2877.2,3273.73,2723.06,3183.98,25842196
2007-04-30,3196.59,3851.35,3196.59,3841.27,31148512
2007-05-31,3937.94,4335.96,3845.23,4109.65,31503582
2007-06-29,4120.63,4312,3404.15,3820.7,29792672
2007-07-31,3800.23,4476.63,3563.54,4471.03,18476480
2007-08-31,4488.77,5235.16,4284.87,5218.83,25706728
2007-09-28,5257.78,5560.42,5025.34,5552.3,20302320
2007-10-31,5683.31,6124.04,5462.01,5954.77,14640799
2007-11-30,5978.94,6005.13,4778.73,4871.78,11113601
2007-12-28,4838.56,5336.5,4798.01,5261.56,13521871
2008-01-31,5265,5522.78,4330.7,4383.39,18871768
2008-02-29,4388.25,4695.8,4123.31,4348.54,9184871
2008-03-31,4323.7,4472.15,3357.23,3472.71,13985475
2008-04-30,3461.08,3705.09,2990.79,3693.11,16376687
2008-05-30,3739.8,3786.02,3333.95,3433.35,15816568
2008-06-30,3426.2,3483.61,2693.4,2736.1,11558874
2008-07-31,2743.16,2952.04,2566.53,2775.72,16192970
2008-08-29,2751.02,2830.76,2284.58,2397.37,10364708
2008-09-26,2380.47,2380.47,1802.33,2293.78,12308563
2008-10-31,2267.39,2267.39,1664.93,1728.79,11981192
2008-11-28,1713.76,2050.88,1678.96,1871.16,20665356
2008-12-31,1865.74,2100.81,1814.75,1820.81,25513944
2009-01-23,1849.02,2018.51,1844.09,1990.66,14975977
2009-02-27,2008.13,2402.81,1987.13,2082.85,35642424
2009-03-31,2066.23,2392.77,2037.02,2373.21,31631644
2009-04-30,2380.98,2579.22,2331.88,2477.57,34808828
2009-05-27,2486.69,2688.11,2486.23,2632.93,26995994
2009-06-30,2668.4,2997.27,2668.4,2959.36,32693356
2009-07-31,2950.17,3454.02,2947.69,3412.06,45407008
2009-08-31,3429.69,3478.01,2663,2667.75,33766156
2009-09-30,2649.17,3068.03,2639.76,2779.43,29481612
2009-10-30,2840.13,3123.46,2834.62,2995.85,20065906
2009-11-30,2933.82,3361.39,2923.52,3195.3,37542536
2009-12-31,3191.06,3334.01,3039.86,3277.14,30267252
2010-01-29,3289.75,3306.75,2963.89,2989.29,26742808
2010-02-26,2981.37,3067.52,2890.02,3051.94,13594930
2010-03-31,3057.01,3132.58,2963.44,3109.1,23523456
2010-04-30,3111.93,3181.66,2820.95,2870.61,25818668
2010-05-31,2821.35,2862.56,2481.97,2592.15,20498618
2010-06-30,2577.76,2598.9,2382.36,2398.37,14784582
2010-07-30,2393.95,2656.41,2319.74,2637.5,21957820
2010-08-31,2635.81,2701.93,2564.84,2638.8,27124330
2010-09-30,2641.05,2704.93,2573.63,2655.66,22507254
2010-10-29,2681.25,3073.38,2677.99,2978.83,33783896
2010-11-30,2986.89,3186.72,2758.92,2820.18,40429716
2010-12-31,2810.54,2939.05,2721.48,2808.08,24120560
2011-01-31,2825.33,2868.01,2661.45,2790.69,19369192
2011-02-28,2795.07,2944.41,2760.18,2905.05,19199740
2011-03-31,2906.28,3012.04,2850.94,2928.11,32029408
2011-04-29,2932.48,3067.46,2871.01,2911.51,25218452
2011-05-31,2911.51,2933.46,2689.21,2743.47,19570660
2011-06-30,2737.06,2774.37,2610.99,2762.08,17828004
2011-07-29,2767.83,2826.96,2677.12,2701.73,20490016
2011-08-31,2697.57,2712.89,2437.68,2567.34,18019774
2011-09-30,2569.8,2584.8,2348.22,2359.22,11902838
2011-10-31,2363.08,2483.76,2307.15,2468.25,12017766
2011-11-30,2450.33,2536.78,2319.44,2333.41,16417186
2011-12-30,2392.48,2423.56,2134.02,2199.42,11545169
2012-01-31,2212,2324.49,2132.63,2292.61,10455798
2012-02-29,2288.07,2478.38,2263.34,2428.49,19522828
2012-03-30,2418.79,2476.22,2242.35,2262.79,20894510
2012-04-27,2258.03,2415.75,2251.39,2396.32,16337145
2012-05-31,2421.08,2453.73,2309.07,2372.23,19912340
2012-06-29,2373.22,2388.09,2188.72,2225.43,12760927
2012-07-31,2234.32,2244.83,2100.25,2103.63,13490812
2012-08-31,2101.72,2176.79,2032.54,2047.52,13640212
2012-09-28,2044.82,2145,1999.48,2086.17,14327869
2012-10-31,2084.85,2138.03,2053.09,2068.88,12312508
2012-11-30,2070.02,2123.33,1959.33,1980.12,12452023
2012-12-31,1977.25,2269.51,1949.46,2269.13,22452056
2013-01-31,2289.51,2391.82,2234.95,2385.42,26719250
2013-02-28,2377.41,2444.8,2289.89,2365.59,18265338
2013-03-29,2364.54,2369.65,2228.81,2236.62,23259538
2013-04-26,2229.46,2253.42,2165.78,2177.91,14971428
2013-05-31,2170.78,2334.33,2161.14,2300.6,22948984
2013-06-28,2300.21,2313.43,1849.65,1979.21,15523833
2013-07-31,1965.99,2092.87,1946.37,1993.8,21649630
2013-08-30,2000.82,2198.85,1997.06,2098.38,24894848
2013-09-30,2104.09,2270.27,2078.46,2174.67,29995068
2013-10-31,2171.9,2242.98,2093.2,2141.61,23773952
2013-11-29,2139.88,2234.39,2078.99,2220.5,21878708
2013-12-31,2203.12,2260.87,2068.54,2115.98,20712628
2014-01-30,2112.13,2113.11,1984.82,2033.08,15635794
2014-02-28,2022.32,2177.98,2014.38,2056.3,20512176
2014-03-31,2052.07,2079.55,1974.38,2033.31,23129756
2014-04-30,2031.01,2146.67,1997.64,2026.36,20674468
2014-05-30,2022.18,2061.06,1991.06,2039.21,15124593
2014-06-30,2039.2,2087.32,2010.53,2048.33,15912306
2014-07-31,2051.23,2202.13,2033,2201.56,29809534
2014-08-29,2194.17,2248.94,2180.6,2217.2,33437792
2014-09-30,2220.13,2365.49,2217.69,2363.87,41910300
2014-10-31,2368.58,2423.6,2279.84,2420.18,36972864
2014-11-28,2425.23,2683.18,2401.75,2682.83,56913336
2014-12-31,2691.73,3239.36,2665.69,3234.68,113835216
2015-01-30,3258.63,3406.79,3095.07,3210.36,70843480
2015-02-27,3148.14,3324.55,3049.11,3310.3,36155940
2015-03-31,3332.72,3835.57,3198.37,3747.9,94424840
2015-04-30,3748.34,4572.39,3742.21,4441.66,126773720
2015-05-29,4441.34,4986.5,4099.04,4611.74,106648840
2015-06-30,4633.1,5178.19,3847.88,4277.22,128706448
2015-07-31,4214.15,4317.05,3373.54,3663.73,131935944
2015-08-31,3614.99,4006.34,2850.71,3205.99,87192576
2015-09-30,3157.83,3256.74,2983.54,3052.78,53625116
2015-10-30,3156.07,3457.52,3133.13,3382.56,54525784
2015-11-30,3337.58,3678.27,3302.18,3445.4,70658136
2015-12-31,3442.44,3684.57,3399.28,3539.18,53681812
2016-01-29,3536.59,3538.69,2638.3,2737.6,40077704
2016-02-29,2730.98,2933.96,2638.96,2687.98,30132904
2016-03-31,2688.38,3028.32,2668.76,3003.92,50845992
2016-04-29,2997.09,3097.16,2905.05,2938.32,37869624
2016-05-31,2940.39,3004.42,2780.76,2916.62,28538472
2016-06-30,2917.15,2945.94,2807.6,2929.61,31759376
2016-07-29,2931.8,3069.05,2922.52,2979.34,40116584
2016-08-31,2971.95,3140.44,2931.96,3085.49,39562172
2016-09-30,3083.96,3105.68,2969.13,3004.7,27958312
2016-10-31,3020.46,3137.03,3014.62,3100.49,27831292
2016-11-25,3101.66,3262.88,3094.1,3261.94,43548348
